2019-07-12 18:52:27 INFO  Log:21 - Launched Chrome Browser
2019-07-12 18:52:32 INFO  Log:31 - TC_001_updatingGeneralInformation test case started
2019-07-12 18:52:32 INFO  Log:31 - The URL of Orange HRM is loaded
2019-07-12 18:52:37 INFO  Log:31 - Login Page of Orange HRM is displayed
2019-07-12 18:52:37 INFO  Log:31 - username:Admin
2019-07-12 18:52:37 INFO  Log:31 - username:admin123
2019-07-12 18:52:37 INFO  Log:31 - user successfully logged in
2019-07-12 18:52:39 INFO  Log:31 - Home Page of Orange HRM is displayed
2019-07-12 18:52:39 INFO  Log:31 - Admin was found
2019-07-12 18:52:39 INFO  Log:31 - Organization was found
2019-07-12 18:52:39 INFO  Log:31 - General Information was clicked
2019-07-12 18:52:42 INFO  Log:31 - General Information Page of Admin module of Orange HRM is displayed
2019-07-12 18:52:42 INFO  Log:31 - Edit button was clicked
2019-07-12 18:52:42 INFO  Log:31 - Save button was clicked
2019-07-12 18:52:43 INFO  Log:31 - The name of the testcase passed is :TC_001_updatingGeneralInformation
2019-07-12 18:52:43 INFO  Log:26 - Closed the Browser
