2019-07-12 19:23:58 INFO  Log:26 - test started
2019-07-12 19:24:01 INFO  Log:26 - browser is launched
2019-07-12 19:24:03 INFO  Log:26 - Test case: tc_001_validateSearch_ValidEmpNameis started
2019-07-12 19:24:03 INFO  Log:26 - OrangeHrm application is opened
2019-07-12 19:24:08 INFO  Log:26 - Login credentails are provided
2019-07-12 19:24:09 INFO  Log:26 - Login button was clicked
2019-07-12 19:24:09 INFO  Log:26 - Login is successful
2019-07-12 19:24:12 INFO  Log:26 - Employee List Module is opened
2019-07-12 19:24:12 INFO  Log:26 - empname is provided
2019-07-12 19:24:13 INFO  Log:26 - SearchButton is clicked
2019-07-12 19:24:14 INFO  Log:26 - Test case: tc_001_validateSearch_ValidEmpNameis completed
2019-07-12 19:24:14 INFO  Log:26 - test case ended
